id,category,santali_ol_chiki,bengali,english,status,notes
229,Review candidate,,দুধ,milk,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
230,Review candidate,,ডিম,egg,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
231,Review candidate,,মাছ,fish,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
232,Review candidate,,মাংস,meat,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
233,Review candidate,,মুরগি,chicken,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
234,Review candidate,,সবজি,vegetable,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
235,Review candidate,,আলু,potato,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
236,Review candidate,,পেঁয়াজ,onion,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
237,Review candidate,,রসুন,garlic,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
238,Review candidate,,আম,mango,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
239,Review candidate,,কলা,banana,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
240,Review candidate,,কমলা,orange,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
241,Review candidate,,লেবু,lemon,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
242,Review candidate,,নারকেল,coconut,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
243,Review candidate,,কাঁঠাল,jackfruit,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
244,Review candidate,,কুকুর,dog,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
245,Review candidate,,বিড়াল,cat,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
246,Review candidate,,গরু,cow,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
247,Review candidate,,ছাগল,goat,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
248,Review candidate,,মহিষ,buffalo,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
249,Review candidate,,ঘোড়া,horse,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
250,Review candidate,,শূকর,pig,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
251,Review candidate,,ভেড়া,sheep,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
252,Review candidate,,হাঁস,duck,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
253,Review candidate,,পাখি,bird,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
254,Review candidate,,সাপ,snake,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
255,Review candidate,,ব্যাঙ,frog,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
256,Review candidate,,বাঘ,tiger,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
257,Review candidate,,হাতি,elephant,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
258,Review candidate,,হরিণ,deer,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
259,Review candidate,,বানর,monkey,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
260,Review candidate,,শেয়াল,fox,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
261,Review candidate,,ইঁদুর,rat,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
262,Review candidate,,ইঁদুর,mouse,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
263,Review candidate,,পোকা,insect,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
264,Review candidate,,মৌমাছি,bee,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
265,Review candidate,,পিঁপড়া,ant,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
266,Review candidate,,প্রজাপতি,butterfly,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
267,Review candidate,,মশা,mosquito,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
268,Review candidate,,মাকড়সা,spider,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
269,Review candidate,,বই,book,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
270,Review candidate,,কলম,pen,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
271,Review candidate,,পেন্সিল,pencil,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
272,Review candidate,,কাগজ,paper,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
273,Review candidate,,চিঠি,letter,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
274,Review candidate,,শব্দ,word,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
275,Review candidate,,ভাষা,language,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
276,Review candidate,,নাম,name,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
277,Review candidate,,সংখ্যা,number,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
278,Review candidate,,প্রশ্ন,question,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
279,Review candidate,,উত্তর,answer,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
280,Review candidate,,গল্প,story,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
281,Review candidate,,গান,song,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
282,Review candidate,,সঙ্গীত,music,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
283,Review candidate,,ছবি,picture,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
284,Review candidate,,ছবি,photo,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
285,Review candidate,,ফোন,phone,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
286,Review candidate,,কম্পিউটার,computer,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
287,Review candidate,,ইন্টারনেট,internet,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
288,Review candidate,,ওয়েবসাইট,website,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
289,Review candidate,,বার্তা,message,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
290,Review candidate,,ইমেল,email,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
291,Review candidate,,পাসওয়ার্ড,password,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
292,Review candidate,,টাকা,money,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
293,Review candidate,,দাম,price,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
294,Review candidate,,ব্যাংক,bank,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
295,Review candidate,,কাজ,work,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
296,Review candidate,,চাকরি,job,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
297,Review candidate,,ব্যবসা,business,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
298,Review candidate,,লাভ,profit,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
299,Review candidate,,ক্ষতি,loss,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
300,Review candidate,,সময়,time,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
301,Review candidate,,ঘণ্টা,hour,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
302,Review candidate,,মিনিট,minute,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
303,Review candidate,,সেকেন্ড,second,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
304,Review candidate,,আগে,before,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
305,Review candidate,,পরে,after,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
306,Review candidate,,এখন,now,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
307,Review candidate,,পরে,later,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
308,Review candidate,,সবসময়,always,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
309,Review candidate,,কখনও নয়,never,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
310,Review candidate,,প্রায়ই,often,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
311,Review candidate,,কখনও কখনও,sometimes,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
312,Review candidate,,আবার,again,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
313,Review candidate,,ইতিমধ্যে,already,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
314,Review candidate,,এখনও,still,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
315,Review candidate,,খুব,very,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
316,Review candidate,,শুধু,only,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
317,Review candidate,,এছাড়াও,also,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
318,Review candidate,,এখানে,here,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
319,Review candidate,,সেখানে,there,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
320,Review candidate,,ভিতরে,inside,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
321,Review candidate,,বাইরে,outside,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
322,Review candidate,,উপরে,above,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
323,Review candidate,,নিচে,below,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
324,Review candidate,,কাছে,near,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
325,Review candidate,,দূরে,far,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
326,Review candidate,,বাম,left,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
327,Review candidate,,ডান,right,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
328,Review candidate,,সামনে,front,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
329,Review candidate,,উপরে,up,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
330,Review candidate,,নিচে,down,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
331,Review candidate,,বড়,big,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
332,Review candidate,,ছোট,small,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
333,Review candidate,,লম্বা,long,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
334,Review candidate,,ছোট,short,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
335,Review candidate,,উঁচু,high,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
336,Review candidate,,নিচু,low,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
337,Review candidate,,নতুন,new,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
338,Review candidate,,পুরোনো,old,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
339,Review candidate,,ভালো,good,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
340,Review candidate,,খারাপ,bad,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
341,Review candidate,,গরম,hot,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
342,Review candidate,,ঠান্ডা,cold,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
343,Review candidate,,উষ্ণ,warm,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
344,Review candidate,,ভেজা,wet,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
345,Review candidate,,শুকনো,dry,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
346,Review candidate,,পরিষ্কার,clean,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
347,Review candidate,,নোংরা,dirty,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
348,Review candidate,,শক্তিশালী,strong,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
349,Review candidate,,দুর্বল,weak,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
350,Review candidate,,দ্রুত,fast,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
351,Review candidate,,ধীর,slow,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
352,Review candidate,,সহজ,easy,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
353,Review candidate,,কঠিন,difficult,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
354,Review candidate,,সুন্দর,beautiful,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
355,Review candidate,,কুৎসিত,ugly,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
356,Review candidate,,খুশি,happy,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
357,Review candidate,,দুঃখী,sad,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
358,Review candidate,,রাগান্বিত,angry,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
359,Review candidate,,ভীত,afraid,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
360,Review candidate,,ক্লান্ত,tired,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
361,Review candidate,,ক্ষুধার্ত,hungry,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
362,Review candidate,,তৃষ্ণার্ত,thirsty,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
363,Review candidate,,ভরা,full,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
364,Review candidate,,খালি,empty,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
365,Review candidate,,খোলা,open,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
366,Review candidate,,বন্ধ,closed,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
367,Review candidate,,,right/correct,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
368,Review candidate,,,wrong,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
369,Review candidate,,সত্য,true,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
370,Review candidate,,মিথ্যা,false,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
371,Review candidate,,একই,same,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
372,Review candidate,,ভিন্ন,different,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
373,Review candidate,,অনেক,many,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
374,Review candidate,,অল্প,few,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
375,Review candidate,,আরও,more,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
376,Review candidate,,কম,less,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
377,Review candidate,,সব,all,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
378,Review candidate,,কিছু,some,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
379,Review candidate,,কিছুই নয়,none,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
380,Review candidate,,,one,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
381,Review candidate,,,two,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
382,Review candidate,,,three,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
383,Review candidate,,,four,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
384,Review candidate,,,five,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
385,Review candidate,,,six,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
386,Review candidate,,,seven,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
387,Review candidate,,,eight,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
388,Review candidate,,,nine,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
389,Review candidate,,,ten,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
390,Review candidate,,,hundred,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
391,Review candidate,,,thousand,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
392,Review candidate,,প্রথম,first,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
393,Review candidate,,শেষ,last,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
394,Review candidate,,পরবর্তী,next,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
395,Review candidate,,,one time,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
396,Review candidate,,,two times,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
397,Review candidate,,,how much,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
398,Review candidate,,,how many,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
399,Review candidate,,কে,who,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
400,Review candidate,,কি,what,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
401,Review candidate,,কোথায়,where,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
402,Review candidate,,কখন,when,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
403,Review candidate,,কেন,why,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
404,Review candidate,,কীভাবে,how,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
405,Review candidate,,কোনটি,which,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
406,Review candidate,,হ্যাঁ,yes,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
407,Review candidate,,না,no,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
408,Review candidate,,দয়া করে,please,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
409,Review candidate,,ধন্যবাদ,thanks,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
410,Review candidate,,দুঃখিত,sorry,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
411,Review candidate,,নমস্কার,hello,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
412,Review candidate,,বিদায়,goodbye,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
413,Review candidate,,আসা,come,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
414,Review candidate,,যাওয়া,go,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
415,Review candidate,,বসা,sit,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
416,Review candidate,,দাঁড়ানো,stand,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
417,Review candidate,,ঘুমানো,sleep,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
418,Review candidate,,জাগা,wake,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
419,Review candidate,,খাওয়া,eat,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
420,Review candidate,,পান করা,drink,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
421,Review candidate,,রান্না করা,cook,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
422,Review candidate,,ধোয়া,wash,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
423,Review candidate,,স্নান করা,bathe,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
424,Review candidate,,পরা,wear,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
425,Review candidate,,নেওয়া,take,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
426,Review candidate,,দেওয়া,give,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
427,Review candidate,,আনা,bring,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
428,Review candidate,,বহন করা,carry,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
429,Review candidate,,রাখা,put,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
430,Review candidate,,রাখা,keep,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
431,Review candidate,,,close,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
432,Review candidate,,পড়া,read,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
433,Review candidate,,লেখা,write,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
434,Review candidate,,কথা বলা,speak,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
435,Review candidate,,শোনা,listen,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
436,Review candidate,,শোনা,hear,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
437,Review candidate,,দেখা,see,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
438,Review candidate,,তাকানো,look,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
439,Review candidate,,দেখা,watch,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
440,Review candidate,,জানা,know,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
441,Review candidate,,শেখা,learn,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
442,Review candidate,,শেখানো,teach,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
443,Review candidate,,ভাবা,think,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
444,Review candidate,,বোঝা,understand,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
445,Review candidate,,মনে রাখা,remember,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
446,Review candidate,,ভুলে যাওয়া,forget,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
447,Review candidate,,জিজ্ঞাসা করা,ask,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
448,Review candidate,,বলা,say,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
449,Review candidate,,জানানো,tell,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
450,Review candidate,,ডাকা,call,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
451,Review candidate,,পাঠানো,send,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
